occ10,title,egp_label,egp10_10
9240,Railroad conductors and yardmasters,V,8
9260,"Subway, streetcar, and other rail transportation workers",VI,9
9300,Sailors and marine oilers,VI,9
9310,Ship and boat captains and operators,V,8
9330,Ship engineers,VI,9
9340,Bridge and lock tenders,IIIb,4
9350,Parking lot attendants,IIIb,4
9360,Automotive and watercraft service attendants,IIIb,4
9410,Transportation inspectors,V,8
9415,"Transportation attendants, except flight attendants",IIIb,4
9420,Other transportation workers,IIIb,4
9500,Conveyor operators and tenders,VIIa,10
9510,Crane and tower operators,VI,9
9520,"Dredge, excavating, and loading machine operators",VIIa,10
9560,Hoist and winch operators,VIIa,10
9600,Industrial truck and tractor operators,VIIa,10
9610,Cleaners of vehicles and equipment,VIIa,10
9620,"Laborers and freight, stock, and material movers, hand",VIIa,10
9630,Machine feeders and offbearers,VIIa,10
9640,"Packers and packagers, hand",VIIa,10
9650,Pumping station operators,VIIa,10
9720,Refuse and recyclable material collectors,VIIa,10
9730,Mine shuttle car operators,VIIa,10
9740,"Tank car, truck, and ship loaders",VIIa,10
9750,"Material moving workers, all other",VIIa,10
9800,Military officer special and tactical operations leaders,Military,12
9810,First-line enlisted military supervisors,Military,12
9820,Military enlisted tactical operations and air/weapons specialists and crew members,Military,12
9830,"Military, rank not specified",Military,12
